,country,gdp_per_capita
0,Luxembourg,134754
1,Singapore,116486
2,Ireland,106456
3,Qatar,93521
4,Bermuda,85192
5,Norway,79201
6,Switzerland,77324
7,Macao,73802
8,United States,69288
9,Brunei,66620
10,Hong Kong,65973
11,Denmark,64651
12,Netherlands,63767
13,Sweden,59324
14,Belgium,58931
15,Austria,58427
16,Germany,57928
17,Iceland,57646
18,Australia,55807
19,Finland,55007
20,Canada,52085
21,France,50729
22,United Kingdom,49675
23,Saudi Arabia,49551
24,Malta,47714
25,South Korea,46918
26,New Zealand,46420
27,Italy,45936
28,Bahrain,45411
29,Czechia,44261
30,Israel,43722
31,Slovenia,43625
32,Japan,42940
33,Lithuania,42665
34,Estonia,42192
35,Spain,40775
36,Poland,37503
37,Hungary,36753
38,Portugal,35888
39,Romania,35414
40,Latvia,34469
41,Bahamas,34108
42,Croatia,33801
43,Russia,33361
44,Slovakia,33010
45,Panama,31680
46,Cyprus,31509
47,Greece,31295
48,Turkey,30472
49,Oman,30422
