,Unnamed: 0_x,country,annual_income,corruption_index,Unnamed: 0_y,gdp_per_capita
0,0,Denmark,68110,12,11,64651
1,1,Finland,53660,12,19,55007
2,2,New Zealand,45340,12,26,46420
3,3,Norway,84090,15,5,79201
4,4,Singapore,64010,15,1,116486
5,5,Sweden,58890,15,13,59324
6,6,Switzerland,90360,16,6,77324
7,7,Netherlands,56370,18,12,63767
8,8,Luxembourg,81110,19,0,134754
9,9,Germany,51040,20,16,57928
10,10,United Kingdom,45380,22,22,49675
11,11,Hong Kong,54450,24,10,65973
12,12,Austria,52210,26,15,58427
13,13,Canada,48310,26,20,52085
14,14,Estonia,25970,26,34,42192
15,15,Iceland,64410,26,17,57646
16,16,Ireland,74520,26,2,106456
17,17,Australia,56760,27,18,55807
18,18,Belgium,50510,27,14,58931
19,19,Japan,42620,27,32,42940
20,20,France,43880,29,21,50729
21,22,United States,70430,33,8,69288
22,23,Qatar,57120,37,3,93521
23,24,Portugal,23730,38,38,35888
24,25,South Korea,34980,38,25,46918
25,26,Spain,29740,39,35,40775
26,27,Israel,49560,41,30,43722
27,28,Italy,35710,44,27,45936
28,29,Poland,16670,44,36,37503
29,30,Saudi Arabia,22270,47,23,49551
30,31,Greece,20140,51,47,31295
31,34,Romania,14170,55,39,35414
32,41,Turkey,9830,62,48,30472
33,69,Russia,11600,71,43,33361
